sku,name,price,is_active
SKU-001,NMN 32000,1299.00,False
SKU-002,Fish Oil 1000mg,399,False
SKU-003,Vitamin C 1000,399.5,False
SKU-004,Collagen Peptide,899,False
SKU-005,Magnesium Glycinate,259,True
SKU-006,Probiotic 30B,699.00,True
SKU-007,Zinc 50mg,99,False
SKU-008,NADH Booster,1599,True
SKU-009,PQQ Complex,799,False
SKU-010,Spermidine,1099,True
SKU-011,EGT 麥角硫因,1499,False
SKU-012,CoQ10,299,True
SKU-013,Iron,129,False
SKU-014,B-Complex,219.00,True
SKU-015,Omega 3 Premium,599,False
SKU-016,Sleep Support,459,False
SKU-017,Joint Care,699,True
SKU-018,Eye Care,329,True
SKU-019,Calcium D3,279,True
SKU-020,Protein Bar,39,True
