sku,name,price,is_active
SKU-001,NMN 32000, $1,299.00 ,False
SKU-002,Fish Oil 1000mg,HK$399,False
SKU-003,Vitamin C 1000,399.5,FALSE
SKU-004,Collagen Peptide,$ 899,False
SKU-005,Magnesium Glycinate, 259 ,True
SKU-006,Probiotic 30B,HK$ 699.00,
SKU-007,Zinc 50mg, $99 ,False
SKU-008,NADH Booster,1,599,true
SKU-009,PQQ Complex, 799 ,False
SKU-010,Spermidine,HK$1,099,True
SKU-011,EGT 麥角硫因, $1,499 ,FALSE
SKU-012,CoQ10,299,True
SKU-013,Iron, $129 ,FALSE
SKU-014,B-Complex, 219.00 ,TRUE
SKU-015,Omega 3 Premium,HK$ 599,FALSE
SKU-016,Sleep Support, 459 ,FALSE
SKU-017,Joint Care, $699 ,true
SKU-018,Eye Care,HK$ 329,TRUE
SKU-019,Calcium D3, 279 ,
SKU-020,Protein Bar, $39 ,True
